timestamp,pass,scenario,lvl,br_kbps,conf,reward,avg20,util,thr_mbps,loss_pct,rtt_ms,cpu_pct,mem_pct,thermal_c,battery,encoding_delay_ms
2026-05-30T10:26:30.179936,1,optimal_conditions,4,2400,0.2878,0.0159,0.0159,0.278,8.63,0.0,41.3,0.4,81.0,35,1.0,22.5
2026-05-30T10:26:31.751980,1,optimal_conditions,5,4800,0.1184,0.1678,0.0918,0.556,8.63,0.0,41.8,0.7,74.8,35,1.0,40.0
2026-05-30T10:26:33.360770,1,optimal_conditions,0,150,0.2562,-0.1063,0.0258,0.017,8.63,0.0,41.3,0.7,74.9,35,1.0,6.09
2026-05-30T10:26:34.924035,1,optimal_conditions,0,150,0.2158,-0.1087,-0.0078,0.017,8.63,0.0,41.6,0.7,80.9,35,1.0,6.09
2026-05-30T10:26:36.546003,1,optimal_conditions,0,150,0.2299,-0.1063,-0.0275,0.017,8.62,0.0,41.5,0.5,74.9,35,1.0,6.09
2026-05-30T10:26:38.140186,1,optimal_conditions,4,2400,0.3139,0.016,-0.0203,0.279,8.62,0.0,41.5,0.4,81.0,35,1.0,22.5
2026-05-30T10:26:39.749960,1,optimal_conditions,0,150,0.2574,-0.1088,-0.0329,0.017,8.62,0.0,41.3,0.6,81.0,35,1.0,6.09
2026-05-30T10:26:41.356668,1,optimal_conditions,0,150,0.2271,-0.1088,-0.0424,0.017,8.62,0.0,41.3,0.6,81.2,35,1.0,6.09
2026-05-30T10:26:42.919162,1,optimal_conditions,5,4800,0.1651,0.1479,-0.0213,0.556,8.63,0.0,41.7,0.4,81.2,35,1.0,40.0
2026-05-30T10:26:44.536788,1,optimal_conditions,3,1200,0.1056,-0.0504,-0.0242,0.139,8.63,0.0,41.4,0.5,80.8,35,1.0,13.75
2026-05-30T10:26:46.141840,1,optimal_conditions,4,2400,0.2779,0.0155,-0.0206,0.278,8.62,0.0,41.3,0.5,81.1,35,1.0,22.5
2026-05-30T10:26:47.783257,1,optimal_conditions,2,600,0.2102,-0.0895,-0.0263,0.074,8.13,0.0,41.3,0.5,81.0,35,1.0,9.38
